compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,-161.0,2.3591,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-157.0,-3.0103,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-153.0,-4.4026,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-149.0,13.3879,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,-147.0,-3.3921,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-143.0,8.0664,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,-139.0,-0.9993,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-123.0,-4.875,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-123.0,-7.843,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-121.0,3.404,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,33.0,-109.0,-8.3345,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,29.0,-99.0,-5.0,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,-93.0,-16.072,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-91.0,-15.077,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,35.0,-85.0,-12.7565,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,-85.0,-11.6115,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,27.0,-81.0,-2.055,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,33.0,-81.0,-4.0,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,35.0,-81.0,-15.509,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,33.0,-79.0,-14.276,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,35.0,-79.0,-15.621,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,-77.0,-14.973,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-75.0,-8.38,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-7.0,-41.0,-5.4,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-7.0,-8.3,Bartlein_mat_21ka.csv,1.0
